Interval,Processor0,Processor1,Processor2,Processor3,Processor4,Processor5,Processor6,Processor7,Processor8,Processor9,Processor10,Processor11,Processor12,Processor13,Processor14,Processor15,Processor16,Processor17,Processor18,Processor19,Processor20,Processor21,Processor22,Processor23,Processor24,Processor25,Processor26,Processor27,Processor28,Processor29,Processor30,Processor31,Processor32,Processor33,Processor34,Processor35,Max,Mean,SD,CV
323,85425.0,75171.0,70393.0,71263.0,71739.0,71837.0,71177.0,113899.0,74075.0,84920.0,97854.0,107621.0,71143.0,74684.0,95442.0,69683.0,78778.0,76073.0,84429.0,90217.0,83341.0,98839.0,88124.0,71453.0,75769.0,96491.0,75411.0,100075.0,109033.0,100603.0,82801.0,98059.0,85319.0,91292.0,69260.0,92271.0,113899.0,84832.33333333333,12603.183209015095,0.1485657969525978
324,90078.0,76574.0,76815.0,81499.0,73708.0,78845.0,79493.0,114074.0,75461.0,87449.0,103437.0,102064.0,77010.0,73926.0,94858.0,75639.0,79243.0,77423.0,81701.0,87731.0,84542.0,99149.0,91031.0,81678.0,85821.0,89640.0,76715.0,95311.0,107499.0,98835.0,85328.0,97948.0,85327.0,91975.0,77846.0,94851.0,114074.0,86959.0,10266.573665704314,0.11806223238197673
325,83448.0,73200.0,71963.0,71184.0,71425.0,73692.0,81136.0,109239.0,70446.0,86384.0,108138.0,93662.0,70813.0,71088.0,91883.0,77911.0,73070.0,72963.0,90401.0,82960.0,80581.0,94859.0,93682.0,70703.0,90275.0,81532.0,83882.0,91755.0,106638.0,102458.0,83097.0,96375.0,83452.0,90295.0,77497.0,90140.0,109239.0,84506.30555555556,11239.611758862897,0.13300323194786723
326,80643.0,77266.0,72332.0,72239.0,71529.0,74943.0,90481.0,101128.0,70354.0,89625.0,109047.0,87198.0,73017.0,72279.0,86755.0,80054.0,72355.0,79077.0,90843.0,83577.0,80344.0,93458.0,90830.0,76221.0,92937.0,73311.0,80017.0,90076.0,103605.0,103199.0,81144.0,91878.0,83029.0,89391.0,82942.0,90136.0,109047.0,84368.33333333333,9988.067416784,0.11838644930108849
327,79875.0,77461.0,74205.0,76924.0,72735.0,75911.0,95681.0,95409.0,78165.0,88380.0,112435.0,82569.0,73525.0,73508.0,82688.0,77588.0,73030.0,82653.0,85917.0,82600.0,82876.0,97120.0,85347.0,78558.0,96771.0,80582.0,72620.0,85131.0,98345.0,98101.0,83687.0,89918.0,87004.0,90742.0,78357.0,93627.0,112435.0,84445.69444444444,9190.833152958696,0.10883720257644643
328,77846.0,74934.0,78257.0,81197.0,71556.0,78852.0,102683.0,87376.0,73023.0,91989.0,113818.0,77595.0,76285.0,75635.0,76479.0,81771.0,74225.0,87785.0,88535.0,79746.0,82492.0,98557.0,86646.0,73653.0,100169.0,87108.0,78270.0,85833.0,92860.0,96098.0,77225.0,92764.0,79227.0,90263.0,83173.0,90286.0,113818.0,84561.41666666667,9473.195760128798,0.11202740130846275
329,79228.0,76748.0,78190.0,79757.0,71854.0,77616.0,110676.0,80581.0,75369.0,92175.0,111382.0,75736.0,76373.0,78765.0,78350.0,82594.0,76392.0,92008.0,90888.0,80175.0,79430.0,97141.0,82833.0,72617.0,103832.0,90522.0,80847.0,81708.0,93198.0,90261.0,83061.0,99742.0,81759.0,88951.0,75943.0,90267.0,111382.0,84915.80555555556,9934.825273359938,0.1169961847310057
330,77050.0,78367.0,77142.0,85330.0,72511.0,78827.0,112490.0,76805.0,77389.0,98005.0,106880.0,75235.0,75884.0,82272.0,73511.0,81708.0,76002.0,92650.0,93988.0,83324.0,82303.0,97125.0,88530.0,73242.0,107986.0,97535.0,91686.0,82003.0,90937.0,85701.0,76589.0,97083.0,83615.0,89138.0,73402.0,90426.0,112490.0,85629.75,10420.293020445464,0.12169010210172825
331,76250.0,78443.0,85249.0,81963.0,71395.0,79307.0,110977.0,74679.0,77241.0,105704.0,102710.0,73626.0,76201.0,84256.0,76018.0,86882.0,77280.0,97239.0,95604.0,91025.0,81025.0,92860.0,92613.0,75292.0,109695.0,103277.0,96215.0,83072.0,85935.0,79956.0,71656.0,100049.0,88241.0,89055.0,75412.0,88364.0,110977.0,86521.27777777778,11006.027577375527,0.12720602214918197
332,74953.0,80112.0,95135.0,85070.0,73166.0,80541.0,108536.0,75299.0,80018.0,112441.0,94202.0,75802.0,75252.0,86112.0,75691.0,95181.0,82371.0,97405.0,96600.0,94283.0,85870.0,75105.0,96777.0,74656.0,107387.0,110130.0,104806.0,81800.0,84140.0,75143.0,74903.0,101272.0,87089.0,86171.0,73869.0,86811.0,112441.0,87336.08333333333,11703.989323149133,0.1340109251118902
