Interval,Processor0,Processor1,Processor2,Processor3,Processor4,Processor5,Processor6,Processor7,Processor8,Processor9,Processor10,Processor11,Processor12,Processor13,Processor14,Processor15,Processor16,Processor17,Processor18,Processor19,Processor20,Processor21,Processor22,Processor23,Processor24,Processor25,Processor26,Processor27,Processor28,Processor29,Processor30,Processor31,Processor32,Processor33,Processor34,Processor35,Total,Max
406,36,20,198,102,22,126,76,50,76,214,52,4,36,50,52,138,126,138,198,164,160,102,52,44,136,160,164,58,22,58,52,214,136,20,4,44,3304,214
407,24,4,214,130,16,132,24,62,130,208,22,4,62,40,62,140,82,130,208,136,178,136,36,40,130,140,178,62,14,36,82,214,132,22,14,16,3260,214
408,30,42,206,104,6,154,20,74,110,184,20,6,74,20,44,180,122,110,184,154,152,152,84,2,96,122,180,44,20,96,104,206,84,42,30,2,3260,206
409,12,100,178,118,4,180,38,94,100,142,4,2,102,12,2,166,112,82,180,142,162,166,112,44,64,94,162,42,64,82,118,178,102,44,38,42,3284,180
410,20,122,138,148,20,198,36,66,86,96,2,2,120,26,36,170,120,66,138,132,134,170,134,86,50,68,148,26,68,96,132,198,122,44,44,50,3312,198
411,8,154,94,110,50,204,40,56,132,92,2,2,120,36,56,164,154,48,120,144,146,164,146,110,42,36,132,8,48,92,144,204,94,42,40,50,3284,204
412,46,176,62,126,70,200,70,68,122,74,2,6,122,30,68,176,152,30,32,148,152,148,152,126,22,6,124,2,74,62,152,200,124,22,32,46,3224,200
413,58,182,44,128,90,182,72,100,124,72,2,16,128,58,88,156,182,16,24,140,156,124,156,140,2,16,100,6,44,90,156,182,88,16,6,24,3168,182
414,60,180,6,100,100,138,84,98,144,36,2,18,112,78,84,44,112,6,44,142,162,98,144,142,2,36,78,26,26,18,162,180,138,66,60,66,2992,180
415,88,162,24,114,134,106,70,86,134,58,26,34,114,86,96,134,162,58,80,88,154,86,134,156,2,24,86,2,34,80,154,156,106,70,96,26,3220,162
416,106,134,4,70,170,74,106,84,116,48,12,34,112,82,98,104,160,98,104,16,144,70,116,160,12,48,82,4,16,74,144,134,112,84,170,34,3136,170
